<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,,<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,first,high,low,close
Gold.Coin.9712,20181003,4490000,4490000,4250000,4377230,55984770450,12790,472,D,4470081,4335000,,,Lotus.Gold.Com.ETF,20181003,34351,34351,32701,33489,1.23784E+11,3696253,1887,D,32384,32963,,130.7094408,130.7094408,129.9654445,130.7065006
Gold.Coin.9712,20181002,4469444,4560000,4469444,4470081,1.68701E+11,37740,251,D,4704678,4469444,,,Lotus.Gold.Com.ETF,20181002,30300,33890,30250,32384,1.90044E+11,5868453,2481,D,35382,33801,,147.5064026,134.5529655,147.7502149,138.0336277
Gold.Coin.9712,20181001,4800001,4821001,4672372,4704678,1.54737E+11,32890,619,D,4918287,4672372,,,Lotus.Gold.Com.ETF,20181001,35966,36599,34700,35382,2.64972E+11,7488892,2657,D,37778,34700,,133.4594061,131.7249378,134.6504899,132.9681194
Gold.Coin.9712,20180930,5000000,5000000,4906970,4918287,60249017710,12250,354,D,5165232,4906970,,,Lotus.Gold.Com.ETF,20180930,38496,38496,36918,37778,1.65792E+11,4388645,1415,D,39491,36941,,129.8836243,129.8836243,132.91538,130.1891842
Gold.Coin.9712,20180929,5090000,5399999,5090000,5165232,1.34141E+11,25970,732,D,5297372,5105000,,,Lotus.Gold.Com.ETF,20180929,38500,40050,38500,39491,2.85749E+11,7235764,2674,D,40714,39190,,132.2077922,134.8314357,132.2077922,130.7951685
Gold.Coin.9712,20180926,5297372,5297372,5297372,5297372,31254494800,5900,106,D,5045116,5297372,,,Lotus.Gold.Com.ETF,20180926,41200,41499,40200,40714,2.6655E+11,6546858,3310,D,38594,40499,,128.5769903,127.650594,131.7754229,130.1118043
Gold.Coin.9712,20180925,5000000,5123000,4950002,5045116,35820324600,7100,340,D,4977974,5030000,,,Lotus.Gold.Com.ETF,20180925,37998,39181,37600,38594,2.31798E+11,6006113,2383,D,38263,38280,,131.5858729,130.7521503,131.6489894,130.7228067
Gold.Coin.9712,20180924,4977981,4977981,4970000,4977974,60133930520,12080,290,D,4740935,4977981,,,Lotus.Gold.Com.ETF,20180924,38560,38700,38000,38263,1.73377E+11,4531218,2262,D,36647,38480,,129.0970176,128.63,130.7894737,130.0988945
Gold.Coin.9712,20180923,4767000,4796000,4680000,4740935,31195354910,6580,259,D,4754341,4796000,,,Lotus.Gold.Com.ETF,20180923,36511,36850,36302,36647,1.16733E+11,3185299,1666,D,36574,36800,,130.5633919,130.1492537,128.9185169,129.3676154
Gold.Coin.9712,20180922,4800000,4800000,4700000,4754341,34326343830,7220,243,D,4754008,4700001,,,Lotus.Gold.Com.ETF,20180922,36879,37079,36270,36574,1.92966E+11,5276056,1858,D,36453,36331,,130.155373,129.4533294,129.583678,129.9923716
Gold.Coin.9712,20180918,4660000,4807998,4660000,4754008,69741295430,14670,359,D,4653177,4750000,,,Lotus.Gold.Com.ETF,20180918,36000,36810,35851,36453,2.31759E+11,6357822,2703,D,35741,36801,,129.4444444,130.6166259,129.9824273,130.4147258
Gold.Coin.9712,20180917,4720000,4720000,4600012,4653177,28151721770,6050,226,D,4666592,4665000,,,Lotus.Gold.Com.ETF,20180917,36005,36100,35651,35741,73916342783,2068139,1272,D,36021,35825,,131.0929038,130.7479224,129.0289753,130.1915727
